,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-16.0,-50.0,60.0,3.719016485455709,783544
1,1a,-28.0,56.0,0.0,3.3527947805048592,
2,1b,-2.0,34.0,14.0,3.2905267314919255,
3,1c,-24.0,60.0,8.0,3.2388801183529563,
4,2,-68.0,-34.0,30.0,0.6919002080219893,8
5,3,30.0,-62.0,66.0,0.5434790666552612,2576
6,3a,34.0,-68.0,52.0,0.37400580141302703,
7,3b,30.0,-58.0,68.0,0.3670254961295297,
8,3c,36.0,-60.0,54.0,0.314159369474694,
9,4,12.0,-22.0,24.0,0.4557079561268736,8
10,5,-12.0,32.0,-28.0,0.37723361676181166,8
11,6,-18.0,14.0,-36.0,0.3769644824465067,8
12,7,-2.0,-4.0,-30.0,0.17713799259307947,16
13,8,-10.0,28.0,-28.0,0.17331987769005133,8
14,9,-12.0,6.0,-36.0,0.17331987769005133,64
15,10,20.0,18.0,-34.0,0.17331987769005133,8
16,11,34.0,-44.0,12.0,0.137291991946666,192
17,12,-2.0,12.0,16.0,0.11303854064456524,8
18,13,-6.0,-46.0,-38.0,0.10572568610707413,32
19,14,-22.0,-62.0,32.0,0.06320909814132884,8
20,15,-26.0,-44.0,38.0,0.03635411612673946,8
21,16,48.0,-50.0,34.0,0.029582527813949083,8
22,17,-8.0,36.0,30.0,0.026322636310952642,8
23,18,12.0,24.0,16.0,0.02256156839022472,8
24,19,-36.0,-30.0,12.0,0.02256156839022472,8
25,20,52.0,18.0,28.0,0.018800819591187533,8
26,21,-28.0,-20.0,-24.0,0.012533469508069276,8
27,22,48.0,-36.0,20.0,0.010528033237178323,8
28,23,48.0,-34.0,22.0,0.010528033237178323,8
29,24,-26.0,-44.0,44.0,0.0077706258524470675,8
30,25,26.0,34.0,-6.0,0.0057652769696068034,8
31,26,-20.0,-16.0,36.0,0.005013277548926657,24
32,27,22.0,-36.0,-22.0,0.0017546406925954576,8
33,28,2.0,6.0,18.0,0.0007519885532624762,8
34,29,-34.0,-2.0,-2.0,0.0002506628300880075,8
35,30,22.0,-58.0,42.0,0.0001253314140596531,8
