First Author,,,Bach,Chen,Fuentes-Claramonte,Furuichi,Herold,Herold,Hornung,Kedia,Knyazev,Koski,Li,Noll,Van der Cruijsen,Yamawaki,Yaoi,Yin,Wade-Bohleber,Wang,Park,Zhang,Benoit,Cikara,D'Argembeau,Fossati,Gutchess,Gutchess,Han,Han,Heatherton,Jenkins,Kelly,Lombardo,Lou,Ma,Ma,Ma,McAdams,Modinos,Modinos,Moran,Ochsner,,Pauly,Pauly,Pfeifer,Powell,Powell,Sarsam,Schmitz,Sul,Van,Buuren,Vanderwal,Wang,Wu,Yang,W. Yang,Yoshimura,Zhang,Zhang,Y. Zhu,L. Zhu,Zeng,Long,Laurita,Fields,Martial,Oetken,Yang,McAdams
Last Author,,,Leménager,Heatherton,Salvador,Suzuki,Bermpohl,Felix Bermpohl,Derntl,Linden,Rudych,Beer,Wu,Fisher,Crone,Tsukiura,Osaka,Egner,Richter,Sui,An,Meer,Burgess,Saxe,Salmon,Mayberg,Schacter,Schacter,Ma,Ma,Kelley,Mitchell,Heatherton,Baron-Cohen,Lisanby,Han,Han,Han,Krawczyk,Áleman,Aleman,Gabrieli,D’Esposito,,Habel,Habel,Dapretto,Mitchell,Mitchell,Kinderman,Johnson,Kang,Vink,Kahn,Schultz,Han,Zhang,Zhang,Q.Zhang,Yamawaki,Y.Zhu,Y.Zhu,Han,Yang,Yang,Cunningham,Spreng,Kuperberg,D'Argembeau,Pohl,Han,Krawczyk
Year,,,2021,2015,2020,2019,2015,2017,2019,2017,2020,2020,2019,2018,2017,2017,2015,2021,2019,2016,2020,2015,2010,2014,2007,2003,2007,2010,2008,2010,2006,2011,2002,2010,2004,2011,2011,2014,2014,2009,2011,2011,2005,,2013,2014,2007,2010,2010,2013,2004,2011,2010,2012,2008,2012,2010,2012,2013,2009,2006,2006,2007,2012,2021,2020,2020,2019,2018,2017,2016,2016
Journal,,,European Archives of Psychiatry and Clinical Neuroscience,Cult Brain,NeuroImage: Clinical,Asian Journal of Psychiatry,Brain Struct Funct,Journal of Affective Disorders,Frontiers in Behavioral Neuroscience,Social Neuroscience,Frontiers in Human Neuroscience,NeuroImage,Neuroscience Letters,Social Cognitive and Affective Neuroscience,Brain and Cognition,Human Brain Mapping,,The Journal of Neuroscience,Behavioural Brain Research,Frontiers in Psychology,Australian & New Zealand Journal of Psychiatry,NeuroImage,NeuroImage,Neuroimage,J Cogn Neurosci,Am J Psychiatry,Social Neuroscience,Social Neuroscience,Social Neuroscience,Social Cognitive and Affective Neuroscience,SCAN,Soc Neurosci,Journal of Cogntive Neuroscience,Brain,PNAS,Brain,Brain,SCAN,SCAN,PLoS One,Neuropsychology,Journal of Cognitive Neuroscience,Neuroimage,,SCAN,SCAN,Journal of Cognitive Neuroscience,J Cogn Neurosci,J Cogn Neurosci,PLoS One,Neuroimage,Social Neuroscience,Human Brain Mapping,Schizophrenia Research,Neuroimage,Social Cognitive and Affective Neuroscience,Soc Cogn Affect Neurosci,Neuropsychologia,PLoS One,Brain and Cognition,Sci China C Life Sci,Sci China C Life Sci,NeuroImage,Hippocampus,Journal of Personality,Cortex,Social Cognitive and Affective Neuroscience,Social Cognitive and Affective Neuroscience,Brain and Cognition,Neuropsychologia,Nature,Social Cognitive and Affective Neuroscience
Study,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1/1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1/2,2/2,1,1,1,1,1,1/2,2/2,1,1,1,1/2,2/2,1/1,1/1,2,1,1,1,1/1,1/1,1,1/1,1,1/2,2/2,1/1,1/1,1,1,1,1,1,1,1,1
,,Size,"40
29 (Healthy); 11 (Pathological internet gaming)",27,"50
Unhealthy: 23; Healthy:27","30
15(Unhealthy); 15 (Healthy)",28,"28
Manic: 14; Healthy: 14",34,18,47,43,40,37,30,19,18,28,35,27,"50
22(Unhealthy); 28 (Healthy)","55
17(BD), 17(SZ),21 (HCs)",13,21,17,10,"36
19(young), 17(elderly)","32
17(young), 15(elderly)",28,14,30,15,21,"59
30 (Healthy), 29 (Autism)",13,23,19,"60
30 (Chinese); 30 (Danish)","37
19 (Healthy); 18 (Recover from anorexia)",16,"36
18 (Low PP); 18(High PP)",21,17,16,24,"26
13 (Sz); 13 (Healthy)",24,13,18,14,18,19,19,"50
25 (Healthy); 25 (Unaffected siblings)",17,32,"31
 (Han)16; (Tibetan)15",17,25,15,7,7,26,14,50,,"56
29(Young); 27(old)",17,20,20,25,"59
19(Healthy); 22(AN); 18(AN-WR)"
,,Female,0,NA,Unhealthy: 7; Healthy:16,7 (Unhealthy); 7 (Healthy),14,Manic: 4; Healthy: 4,17,18,26,43,20,37,15,9,4,11,27,16,6(Unhealthy); 13 (Healthy),"13(BD), 6(SZ), 9(HCs)",5,11,11,7,"10(young), 11(elderly)","8(young), 11(elderly)",14,7,16,10,9,0,7,12,10,15 (Chinese); 15 (Danish),19 (Healthy); 18 (Recover from anorexia),6,8 (Low PP); 8(High PP),13,9,9,12,6 (Sz); 6 (Healthy),12,9,8,NA,NA,10,11,16 (Healthy); 16 (Unaffected siblings),7,16,15(8Han),8,14,8,3,4,10,10,27,12,16(Young); 12(old),17,12,11,12,19(Healthy); 22(AN); 18(AN-WR)
,,Race/ethnicity,NA,Chinese,Spanish,NA,NA,Caucasian,Caucasian,Caucasian,Russian,"9.3% African American, 30.3% Asian American, 18.6% Hispanic, 39.5% Caucasian and 2.3% Other Ethnicity",Chinese,"86.5% Caucasian, 8.1% Hispanic and 5.4% Asian/Pacific Islander",NA,Japan,NA,NA,NA,Chinese,NA,NA,British,NA,French speaking young adults,,NA,NA,Chinese,Chinese,NA,native English speakers,American,NA,Danish nationality,Chinese,Chinese,NA,NA,Dutch,NA,NA,NA,NA,German,NA,American,native English speakers,native English speakers,English speaker,NA,Korean,Dutch,27.5 (Healthy); 27.9 (Unaffected siblings),NA,Chinese,"Chinese(Han,Tibetan)",Chinese,Chinese native speakers,Japanese,Chinese,Chinese,"13Chinese,6 English,
 4 American, 2 Australian and 1 Canadian",Chinese,Chinese,"29% East Asian, 23% South Asian, 16% White, 8% Black, 5% Middle Eastern. An additional 21% reported themselves to be mixed race,",NA,"non-Hispanic White (12), Hispanic (1), Asian (1), mixed Asian/White (2) and unreported (1)",NA,NA,Chinese,NA
,,Age_mean,21.23,NA,NA,27.5 (Unhealthy); 27.0  (Healthy),38.57,33.78 (Maniac); 38.07 (Healthy),33.41(F); 33.47(M),20.06,23.5,19.4,19.6(1PP); 19.5(3PP),31.16,22.6,22.5,23.3,20.47,33.85,22.3,21.8(Unhealthy); 21.6 (Healthy),"41.9(BD), 35.53(SZ), 29.95(HCs)",24.2,23.1,23,25.8,"23(young), 72(elderly)","23.24(young), 71.6(elderly)",22.5(Non-religious); 23.6(Christians),25.4,24,21.2,20,27.97 (Healthy); 26.59 (Autism),27,22,23.2,22.7 (Chinese); 25 (Danish),24.5 (Healthy); 26.1 (Recover from anorexia),20.8,20.8 (Low PP); 19.8 (High PP),24.3,29,22.95,33.84,36.23 (Sz); 34.46 (Healthy),26.1(adults),20,20,26.4,24,24,21.5,8.1 (Healthy); 0.827 (Unaffected siblings),21.5,22.7,Han:20.1,22.4,22.5,23.3,20.4,20.4,"Chinese:21.5
 Western:23.1",22.64,20.16,19.7,24(Young); 67(old),20.7,22,26.5,20.1,27.9(Healthy); 27.6(AN); 29.6(AN-WR)
,,Age_SD,2.51,NA,NA,4.3 (Unhealthy); 5.3 (Healthy),5.27,10.45 (Maniac); 5.84 (Healthy),13.09(F); M:11.29(M),1.43,4.9,1.32,1.0(1PP); 1.2(3PP),5.78,1.2,1.6,4,0.97,12.65,2.35,4.1(Unhealthy); 2.9(Healthy),"11.82(BD), 9.74(SZ), 10.99(HCs)",NA,NA,3.4,4.4,NA,"2.63(young), 4.55(elderly)",6.00(Non-religious); 2.87(Christians),2.46,NA,,NA,6.1 (Healthy); 7.04 (Autism),NA,NA,NA,1.9 (Chinese); 4.09 (Danish),6.4 (Healthy); 6.8 (Recover from anorexia),2.5,2.3 (Low PP); 1.8 (High PP),NA,NA,NA,5.75(Men); 8.5(Women),9.46 (Sz); 8.58 (Healthy),NA,NA,NA,9.5,3,NA,1.9,29 (Healthy); 25 (Unaffected siblings),1.8,1.9,Han:1.4,1.6,NA,2.7,NA,NA,"Chinese:1.13
 Western:2.33",2.69,1.5,NA,3.5(Young); 6(old),1.3,2,5.51,1.3,6(Healthy); 7.6(AN); 8.1(AN-WR)
